orderID,productID,quantity
2360000,216012,1
2360000,645492,4
2360001,328881,1
2360001,89697,2
2360001,38323,2
2360001,499092,3
2360001,688166,4
2360001,108022,4
2360002,687617,2
2360002,44323,5
2360002,417169,1
2360002,70600,4
2360002,198452,5
2360002,504198,3
2360002,584779,3
2360002,673026,1
2360003,26150,3
2360003,111214,3
2360003,117005,4
2360003,11666,4
2360003,246351,1
2360003,595037,1
2360004,509272,2
2360004,226759,1
2360004,17653,4
2360005,297533,2
2360005,412635,5
2360005,149640,3
2360005,279665,5
2360005,352519,3
2360006,627279,2
2360006,491626,5
2360006,39801,5
2360006,17928,1
2360006,568157,4
2360006,583018,5
2360006,50436,4
2360006,98168,4
2360007,561208,3
2360008,173897,1
2360008,502827,2
2360008,439877,4
2360008,515232,4
2360008,345863,1
2360008,81673,3
2360009,186646,3
2360009,258112,1
2360009,326103,3
2360009,183858,5
2360009,138907,5
2360009,652931,2
2360009,169580,2
2360010,81006,3
2360010,666991,1
2360010,149667,4
2360010,275123,3
2360011,82168,1
2360011,507643,1
2360011,37103,4
2360011,34105,2
2360011,19192,2
2360011,421070,2
2360011,51817,5
2360011,405687,5
2360012,365342,4
2360012,228996,3
2360012,177610,5
2360012,149242,4
2360012,693221,2
2360012,335683,3
2360012,546339,3
2360013,514622,4
2360013,448441,4
2360013,361922,1
2360013,173030,3
2360013,212933,5
2360013,214295,2
2360014,257911,5
2360014,517855,1
2360014,242543,5
2360015,489365,1
2360015,472317,1
2360016,354893,3
2360016,266783,5
2360016,617681,3
2360016,181073,3
2360016,179545,1
2360016,177102,4
2360016,127624,3
2360016,433578,4
2360017,348187,2
2360017,170427,3
2360018,196001,1
2360018,247498,2
2360018,641725,4
2360018,170790,4
2360018,251360,2
2360018,471391,4
2360018,568946,5
2360019,211658,1
2360020,591716,3
2360020,571649,1
2360020,306788,2
2360020,338989,5
2360020,313297,1
2360020,395212,5
2360020,510647,2
2360020,84296,4
2360021,231270,2
2360021,179792,4
2360021,38876,1
2360021,172330,1
2360022,506859,4
2360022,638402,3
2360023,353684,2
2360023,328525,2
2360024,418478,2
2360024,365582,1
2360025,232668,2
2360025,370301,4
2360025,445331,4
2360025,600778,5
2360025,216405,2
2360025,58896,5
2360025,479667,2
2360026,497802,1
2360026,22073,5
2360026,356778,3
2360027,62195,5
2360027,562185,2
2360027,525474,4
2360027,446216,2
2360027,666962,3
2360027,321292,4
2360027,596494,2
2360027,32096,2
2360028,276017,4
2360028,414244,2
2360028,689561,3
2360028,93806,1
2360028,19091,3
2360028,285216,5
2360029,278607,2
2360030,677224,2
2360030,537012,2
2360030,220131,5
2360030,427396,2
2360030,491389,5
2360030,318110,3
2360030,326604,5
2360031,328128,4
2360031,184502,5
2360031,313232,5
2360031,361775,2
2360031,114429,5
2360032,690151,4
2360032,637985,3
2360032,211044,4
2360032,452556,4
2360032,176640,2
2360032,437088,5
2360032,365191,2
2360032,630581,1
2360033,640298,2
2360033,662410,5
2360033,174749,2
2360034,552680,1
2360034,513542,3
2360034,108084,3
2360034,373082,4
2360035,279367,1
2360035,44665,2
2360035,152981,3
2360035,387934,1
2360035,225643,5
2360035,184042,5
2360035,107253,3
2360036,271227,2
2360036,21531,5
2360036,347693,5
2360036,460457,5
2360037,666613,4
2360038,160629,3
2360038,201984,1
2360038,68216,1
2360038,683683,1
2360038,202311,5
2360039,158562,4
2360039,167481,5
2360039,454461,2
2360039,589974,1
2360039,379523,5
2360039,493782,2
2360039,136563,5
2360039,610222,1
2360040,462640,2
2360040,548728,5
2360040,338422,4
2360040,422754,4
2360040,561239,1
2360040,501659,2
2360040,477185,4
2360041,681929,5
2360041,125695,3
2360041,73272,4
2360042,94207,2
2360042,197442,3
2360042,158182,3
2360042,421949,2
2360042,629813,1
2360043,339120,5
2360043,673827,4
2360043,483162,4
2360043,481375,3
2360043,379666,4
2360044,474614,1
2360044,151110,5
2360044,284713,4
2360044,284064,1
2360044,118334,3
2360044,467900,2
2360045,302339,3
2360045,267037,3
2360045,392445,4
2360045,144513,4
2360046,253582,1
2360046,628554,3
2360046,395192,4
2360046,105256,3
2360046,391707,5
2360046,669331,3
2360046,38552,5
2360047,685636,1
2360047,137450,4
2360047,679478,1
2360047,593198,2
2360047,28905,1
2360047,208716,4
2360048,30647,2
2360048,622191,3
2360048,671160,5
2360049,187488,3
2360049,619717,1
2360050,45116,4
2360050,451738,1
2360050,44389,4
2360050,458897,4
2360050,67062,3
2360050,643176,5
2360051,264178,3
2360051,146634,2
2360051,165709,2
2360051,402294,1
2360051,681731,3
2360051,530682,1
2360051,260068,1
2360051,673227,2
2360052,60616,2
2360052,262749,3
2360052,523487,1
2360052,332275,5
2360052,77000,4
2360052,656895,2
2360052,593592,3
2360053,533175,4
2360053,244802,5
2360053,522193,5
2360053,387859,3
2360054,597028,4
2360054,634734,4
2360055,98453,3
2360055,196620,1
2360055,415276,5
2360055,505986,1
2360055,88966,5
2360056,145081,2
2360056,220759,2
2360057,636039,1
2360057,71330,2
2360057,382561,1
2360057,374566,1
2360057,54729,2
2360058,259645,1
2360058,129681,3
2360058,76570,1
2360058,302630,2
2360059,158026,3
2360059,525408,5
2360059,532453,5
2360059,463855,1
2360059,151531,3
2360059,175728,3
2360059,293376,1
2360059,117056,3
2360060,161250,1
2360061,615828,1
2360061,384893,1
2360061,247927,3
2360061,148581,1
2360061,382885,1
2360061,172267,1
2360061,550962,4
2360061,558801,2
2360061,198000,2
2360062,347020,4
2360063,233060,3
2360063,479997,1
2360063,66166,2
2360063,142785,1
2360063,274925,4
2360063,313278,4
2360063,182167,5
2360063,555609,1
2360063,48031,4
2360064,569478,4
2360065,55679,2
2360066,199666,3
2360066,434913,5
2360067,667845,1
2360067,241227,5
2360067,481791,3
2360067,87929,1
2360067,232294,2
2360067,484487,4
2360067,406082,4
2360067,495596,2
2360068,150015,2
2360068,327172,3
2360068,201219,5
2360068,100466,1
2360068,624932,3
2360069,326651,2
2360069,285839,3
2360069,650904,4
2360069,399405,2
2360069,99951,4
2360069,518109,4
2360070,174641,4
2360070,225934,4
2360070,310538,4
2360070,632894,2
2360070,692971,3
2360071,75718,4
2360071,23554,5
2360072,396200,1
2360072,208101,2
2360072,550142,4
2360072,269003,3
2360072,24321,4
2360072,651463,3
2360073,90865,2
2360073,351323,4
2360073,511814,4
2360073,27817,3
2360073,170376,1
2360073,185005,1
2360073,144137,3
2360073,288714,3
2360074,92837,4
2360074,311906,5
2360074,495062,5
2360074,197420,5
2360074,491991,4
2360074,217996,1
2360074,619771,2
2360074,125627,3
2360075,52795,1
2360075,74260,2
2360075,13910,5
2360075,445587,5
2360075,455702,5
2360075,79157,5
2360076,564600,3
2360076,287802,1
2360076,401610,5
2360076,114962,5
2360076,324887,5
2360076,617245,5
2360077,450597,2
2360077,534988,4
2360077,566070,1
2360078,560456,2
2360078,509076,5
2360078,107301,3
2360079,574012,5
2360079,487726,2
2360079,419696,3
2360080,532387,4
2360080,381188,4
2360080,665114,1
2360080,213520,4
2360080,454831,2
2360080,214034,4
2360080,302881,4
2360080,678499,1
2360080,577788,4
2360081,440600,2
2360081,641897,4
2360081,415275,1
2360081,222268,5
2360081,79910,4
2360081,49589,1
2360082,651608,4
2360082,183023,5
2360082,350729,2
2360082,641451,2
2360082,615888,5
2360082,414006,5
2360082,379374,2
2360082,441858,5
2360082,296447,5
2360083,3879,1
2360083,474577,3
2360083,678055,3
2360084,91364,3
2360085,464804,1
2360085,156578,1
2360085,663957,1
2360085,591747,5
2360085,416907,3
2360085,587118,3
2360085,676508,1
2360085,298219,3
2360085,109741,1
2360086,550828,2
2360086,595560,3
2360086,241164,5
2360087,303624,3
2360087,260106,2
2360088,299434,1
2360088,636974,3
2360088,373454,2
2360089,162240,1
2360089,625339,2
2360090,175049,1
2360090,361139,4
2360090,69661,5
2360090,376903,1
2360090,239693,1
2360091,219011,2
2360091,338504,3
2360091,321080,3
2360091,56287,5
2360091,216019,4
2360091,577742,2
2360092,501383,2
2360092,152341,5
2360092,39338,3
2360092,567243,5
2360092,413002,4
2360092,134488,4
2360092,61152,1
2360092,285366,5
2360093,566564,5
2360093,456255,1
2360093,283075,5
2360093,540810,3
2360093,295954,3
2360093,116534,3
2360093,518354,5
2360093,452955,5
2360094,444507,4
2360094,670625,1
2360094,181218,5
2360094,627569,1
2360094,649037,3
2360094,293591,3
2360094,42737,1
2360094,536599,2
2360095,37199,3
2360095,241449,3
2360096,229097,4
2360096,367904,4
2360096,493686,1
2360096,133000,3
2360097,567984,1
2360097,62613,4
2360097,480795,2
2360097,234858,4
2360097,62054,1
2360097,135718,5
2360097,162342,2
2360097,495993,1
2360098,287838,3
2360098,214057,2
2360099,560555,5
2360100,381162,3
2360100,335781,4
2360100,190835,2
2360101,359815,3
2360101,31130,3
2360101,147388,4
2360101,444479,2
2360101,469663,4
2360101,47891,5
2360102,318003,3
2360102,538311,2
2360102,594614,2
2360103,480522,5
2360103,36832,3
2360103,167119,1
2360104,644399,2
2360104,323068,3
2360104,368726,2
2360104,460527,2
2360104,187911,3
2360104,32400,4
2360104,326111,3
2360104,193417,5
2360104,182268,5
2360105,563337,3
2360105,210285,1
2360105,210134,4
2360105,21460,4
2360105,549432,2
2360106,88286,4
2360106,427541,4
2360106,95173,5
2360106,510638,4
2360106,328197,4
2360107,315351,5
2360108,591505,4
2360108,80497,1
2360108,164719,3
2360108,418705,1
2360109,356843,4
2360109,631477,3
2360109,301854,1
2360109,560623,5
2360109,613205,3
2360109,41397,5
2360109,121894,5
2360110,374382,1
2360110,144314,4
2360110,546853,5
2360110,285200,1
2360110,488373,1
2360110,549507,4
2360110,622385,2
2360110,545700,2
2360111,521353,3
2360111,551005,5
2360111,635183,2
2360111,198489,5
2360111,640791,3
2360111,667987,3
2360112,477595,2
2360112,214857,1
2360112,450832,2
2360112,154897,3
2360112,352411,5
2360113,459803,3
2360113,320952,2
2360113,425522,5
2360114,592094,3
2360114,462366,3
2360114,91583,5
2360114,60650,5
2360114,231066,5
2360114,455417,4
2360114,689182,5
2360114,399973,1
2360115,407695,3
2360115,549776,4
2360115,497474,5
2360115,131984,5
2360115,215824,4
2360116,116557,5
2360116,224371,3
2360116,622274,1
2360116,617742,3
2360116,684407,2
2360116,532805,3
2360117,447743,2
2360117,38335,2
2360117,353305,2
2360117,554259,3
2360117,678027,1
2360117,504689,3
2360117,347007,1
2360117,128632,1
2360117,137016,1
2360118,152379,5
2360118,350226,2
2360118,166064,4
2360118,681832,2
2360118,600406,2
2360119,165991,1
2360120,351339,3
2360120,215905,2
2360120,279780,4
2360120,197099,2
2360120,685532,3
2360121,621104,3
2360121,444389,2
2360121,186346,5
2360122,420499,3
2360122,12538,5
2360122,373220,3
2360123,173450,5
2360123,676783,4
2360123,665174,3
2360123,410810,4
2360123,421240,3
2360123,526592,5
2360123,479124,2
2360123,259996,2
2360124,309699,5
2360124,321473,2
2360124,35893,5
2360124,572759,4
2360124,101953,3
2360124,180108,3
2360124,662739,1
2360125,76272,4
2360125,584660,5
2360125,63125,2
2360125,216448,3
2360125,185289,5
2360126,211959,3
2360126,210507,4
2360126,669995,4
2360126,627860,4
2360126,412744,2
2360126,237511,3
2360127,134922,1
2360127,474005,3
2360127,58315,2
2360127,305328,4
2360127,439502,5
2360127,306740,3
2360127,227538,1
2360127,9347,5
