productID,productName,supplierID,categoryID,unitPrice
600000,Product600000,1,67,41
600001,Product600001,16,200,195
600002,Product600002,21,463,58
600003,Product600003,20,233,7
600004,Product600004,9,314,106
600005,Product600005,22,163,83
600006,Product600006,19,210,20
600007,Product600007,23,416,187
600008,Product600008,26,200,158
600009,Product600009,25,493,81
600010,Product600010,6,270,166
600011,Product600011,10,34,31
600012,Product600012,2,385,15
600013,Product600013,19,121,182
600014,Product600014,20,182,124
600015,Product600015,4,268,167
600016,Product600016,18,445,108
600017,Product600017,9,98,123
600018,Product600018,13,5,188
600019,Product600019,6,273,25
600020,Product600020,25,172,62
600021,Product600021,25,165,38
600022,Product600022,27,41,174
600023,Product600023,10,249,115
600024,Product600024,28,492,64
600025,Product600025,26,176,92
600026,Product600026,1,287,114
600027,Product600027,14,116,107
600028,Product600028,16,118,43
600029,Product600029,22,202,154
600030,Product600030,20,322,19
600031,Product600031,7,218,24
600032,Product600032,13,280,169
600033,Product600033,6,39,159
600034,Product600034,28,263,4
600035,Product600035,17,7,44
600036,Product600036,18,91,80
600037,Product600037,19,217,91
600038,Product600038,8,280,190
600039,Product600039,18,191,59
600040,Product600040,22,208,97
600041,Product600041,24,341,160
600042,Product600042,12,372,86
600043,Product600043,14,282,12
600044,Product600044,20,372,36
600045,Product600045,5,262,76
600046,Product600046,27,475,89
600047,Product600047,11,279,11
600048,Product600048,13,167,181
600049,Product600049,25,446,15
600050,Product600050,14,44,34
600051,Product600051,18,402,7
600052,Product600052,10,285,165
600053,Product600053,29,190,122
600054,Product600054,22,291,169
600055,Product600055,14,204,168
600056,Product600056,5,94,22
600057,Product600057,25,82,150
600058,Product600058,11,133,46
600059,Product600059,14,195,121
600060,Product600060,7,390,144
600061,Product600061,20,491,152
600062,Product600062,14,131,159
600063,Product600063,4,188,184
600064,Product600064,5,401,69
600065,Product600065,25,19,194
600066,Product600066,2,498,26
600067,Product600067,23,209,181
600068,Product600068,9,295,83
600069,Product600069,29,23,143
600070,Product600070,27,335,97
600071,Product600071,8,38,145
600072,Product600072,8,331,65
600073,Product600073,5,293,79
600074,Product600074,10,52,143
600075,Product600075,11,339,106
600076,Product600076,14,373,70
600077,Product600077,15,112,128
600078,Product600078,25,172,107
600079,Product600079,28,155,180
600080,Product600080,16,229,4
600081,Product600081,23,459,115
600082,Product600082,4,399,58
600083,Product600083,2,408,73
600084,Product600084,29,342,123
600085,Product600085,29,351,153
600086,Product600086,15,11,84
600087,Product600087,6,67,178
600088,Product600088,15,388,184
600089,Product600089,12,174,56
600090,Product600090,26,408,14
600091,Product600091,28,467,22
600092,Product600092,16,61,91
600093,Product600093,13,93,160
600094,Product600094,10,148,58
600095,Product600095,27,291,6
600096,Product600096,23,121,127
600097,Product600097,7,211,31
600098,Product600098,28,45,115
600099,Product600099,27,457,115
600100,Product600100,16,193,146
600101,Product600101,13,32,29
600102,Product600102,13,71,54
600103,Product600103,2,81,20
600104,Product600104,2,25,197
600105,Product600105,9,415,189
600106,Product600106,26,94,49
600107,Product600107,18,178,94
600108,Product600108,20,54,99
600109,Product600109,2,430,89
600110,Product600110,23,359,3
600111,Product600111,26,271,142
600112,Product600112,13,77,152
600113,Product600113,21,226,21
600114,Product600114,9,498,67
600115,Product600115,6,368,96
600116,Product600116,13,63,196
600117,Product600117,19,35,7
600118,Product600118,7,308,139
600119,Product600119,13,24,199
600120,Product600120,16,165,9
600121,Product600121,8,227,118
600122,Product600122,17,137,34
600123,Product600123,7,52,41
600124,Product600124,23,166,34
600125,Product600125,4,374,25
600126,Product600126,12,158,130
600127,Product600127,4,366,93
600128,Product600128,18,332,33
600129,Product600129,13,270,132
600130,Product600130,21,56,168
600131,Product600131,17,245,45
600132,Product600132,8,401,33
600133,Product600133,5,206,65
600134,Product600134,22,241,56
600135,Product600135,19,253,170
600136,Product600136,14,363,41
600137,Product600137,6,428,26
600138,Product600138,22,368,95
600139,Product600139,24,130,33
600140,Product600140,15,468,186
600141,Product600141,6,412,38
600142,Product600142,19,210,182
600143,Product600143,21,238,28
600144,Product600144,24,194,133
600145,Product600145,14,212,75
600146,Product600146,28,169,196
600147,Product600147,19,309,144
600148,Product600148,17,428,179
600149,Product600149,11,402,182
600150,Product600150,9,468,71
600151,Product600151,22,470,56
600152,Product600152,27,296,97
600153,Product600153,4,478,18
600154,Product600154,2,444,187
600155,Product600155,18,256,138
600156,Product600156,3,310,62
600157,Product600157,23,436,115
600158,Product600158,12,337,187
600159,Product600159,21,433,196
600160,Product600160,9,207,123
600161,Product600161,9,38,70
600162,Product600162,27,63,127
600163,Product600163,22,311,125
600164,Product600164,13,480,141
600165,Product600165,5,256,113
600166,Product600166,14,42,117
600167,Product600167,1,367,70
600168,Product600168,13,227,117
600169,Product600169,23,130,133
600170,Product600170,5,316,100
600171,Product600171,3,250,43
600172,Product600172,13,227,44
600173,Product600173,19,438,101
600174,Product600174,5,138,29
600175,Product600175,12,293,160
600176,Product600176,25,263,59
600177,Product600177,6,284,80
600178,Product600178,17,403,186
600179,Product600179,21,56,103
600180,Product600180,21,125,110
600181,Product600181,28,96,51
600182,Product600182,26,2,104
600183,Product600183,26,499,193
600184,Product600184,20,453,4
600185,Product600185,16,329,74
600186,Product600186,8,334,68
600187,Product600187,21,10,175
600188,Product600188,16,408,165
600189,Product600189,17,104,120
600190,Product600190,14,204,72
600191,Product600191,2,156,56
600192,Product600192,24,231,102
600193,Product600193,8,43,117
600194,Product600194,3,232,63
600195,Product600195,9,215,96
600196,Product600196,20,285,4
600197,Product600197,22,317,134
600198,Product600198,3,377,115
600199,Product600199,21,48,129
600200,Product600200,28,447,58
600201,Product600201,25,19,156
600202,Product600202,25,168,109
600203,Product600203,12,196,126
600204,Product600204,14,11,85
600205,Product600205,20,31,112
600206,Product600206,2,410,36
600207,Product600207,1,290,16
600208,Product600208,4,32,154
600209,Product600209,16,175,59
600210,Product600210,26,373,112
600211,Product600211,19,56,198
600212,Product600212,8,240,14
600213,Product600213,24,266,101
600214,Product600214,11,198,154
600215,Product600215,27,388,49
600216,Product600216,3,62,39
600217,Product600217,14,377,164
600218,Product600218,15,59,46
600219,Product600219,22,334,62
600220,Product600220,22,389,9
600221,Product600221,19,47,28
600222,Product600222,18,316,181
600223,Product600223,10,34,79
600224,Product600224,20,269,58
600225,Product600225,20,487,111
600226,Product600226,24,126,65
600227,Product600227,6,247,11
600228,Product600228,17,10,33
600229,Product600229,1,93,56
600230,Product600230,7,455,33
600231,Product600231,29,348,1
600232,Product600232,15,127,94
600233,Product600233,2,121,83
600234,Product600234,24,433,29
600235,Product600235,18,126,192
600236,Product600236,13,335,83
600237,Product600237,10,393,137
600238,Product600238,4,470,196
600239,Product600239,20,45,152
600240,Product600240,12,97,24
600241,Product600241,29,358,174
600242,Product600242,2,175,192
600243,Product600243,10,44,94
600244,Product600244,21,417,115
600245,Product600245,7,419,155
600246,Product600246,29,303,125
600247,Product600247,21,41,156
600248,Product600248,11,76,108
600249,Product600249,26,379,200
600250,Product600250,10,471,124
600251,Product600251,9,168,27
600252,Product600252,17,305,181
600253,Product600253,28,70,117
600254,Product600254,19,367,14
600255,Product600255,27,246,157
600256,Product600256,5,481,11
600257,Product600257,6,410,130
600258,Product600258,13,445,89
600259,Product600259,27,425,58
600260,Product600260,9,115,26
600261,Product600261,20,25,125
600262,Product600262,11,211,27
600263,Product600263,6,91,107
600264,Product600264,16,172,192
600265,Product600265,5,399,174
600266,Product600266,22,133,189
600267,Product600267,23,39,97
600268,Product600268,13,459,16
600269,Product600269,24,152,72
600270,Product600270,4,418,121
600271,Product600271,27,23,157
600272,Product600272,22,337,107
600273,Product600273,24,274,186
600274,Product600274,2,428,125
600275,Product600275,23,203,61
600276,Product600276,29,499,186
600277,Product600277,24,35,157
600278,Product600278,23,177,154
600279,Product600279,8,372,181
600280,Product600280,7,436,64
600281,Product600281,13,458,100
600282,Product600282,17,236,189
600283,Product600283,19,95,36
600284,Product600284,8,499,97
600285,Product600285,25,368,157
600286,Product600286,24,74,49
600287,Product600287,7,460,72
600288,Product600288,8,135,119
600289,Product600289,27,265,109
600290,Product600290,13,298,142
600291,Product600291,26,126,120
600292,Product600292,28,446,75
600293,Product600293,21,312,138
600294,Product600294,12,370,59
600295,Product600295,24,459,143
600296,Product600296,25,260,181
600297,Product600297,1,2,86
600298,Product600298,1,259,115
600299,Product600299,4,390,161
600300,Product600300,24,426,39
600301,Product600301,28,171,196
600302,Product600302,14,134,181
600303,Product600303,12,212,65
600304,Product600304,7,189,77
600305,Product600305,2,209,56
600306,Product600306,11,101,40
600307,Product600307,2,175,38
600308,Product600308,23,242,177
600309,Product600309,4,247,75
600310,Product600310,16,102,42
600311,Product600311,19,402,24
600312,Product600312,15,104,79
600313,Product600313,18,55,63
600314,Product600314,29,469,81
600315,Product600315,4,63,72
600316,Product600316,15,169,136
600317,Product600317,21,199,174
600318,Product600318,20,47,32
600319,Product600319,3,29,102
600320,Product600320,13,36,97
600321,Product600321,27,461,33
600322,Product600322,12,203,146
600323,Product600323,5,137,104
600324,Product600324,5,172,63
600325,Product600325,6,487,46
600326,Product600326,14,400,34
600327,Product600327,21,426,32
600328,Product600328,13,14,55
600329,Product600329,6,35,175
600330,Product600330,29,93,135
600331,Product600331,26,173,44
600332,Product600332,3,298,170
600333,Product600333,15,297,74
600334,Product600334,9,494,15
600335,Product600335,7,17,62
600336,Product600336,16,358,179
600337,Product600337,21,325,81
600338,Product600338,15,157,163
600339,Product600339,18,6,18
600340,Product600340,18,282,173
600341,Product600341,10,48,125
600342,Product600342,25,67,21
600343,Product600343,15,177,137
600344,Product600344,4,172,89
600345,Product600345,22,78,109
600346,Product600346,5,233,91
600347,Product600347,12,36,58
600348,Product600348,23,187,48
600349,Product600349,28,347,72
600350,Product600350,29,344,140
600351,Product600351,25,162,31
600352,Product600352,18,248,57
600353,Product600353,11,448,78
600354,Product600354,23,114,9
